psro_40c,psro
9.398717048,8.868582951
,8.99972024
,8.879743295
9.432198946,8.856027023
,8.91741108
,8.978795138
9.595423414,9.051339539
9.564732686,9.015067339
,8.957868301
,
,
9.409876524,8.863001479
,8.865792649
,8.913225193
9.567522122,9.031808287
,8.913225193
9.344308313,8.832310751
,8.69559199
,
8.588170106,8.049665101
8.768136391,8.267298304
,8.236607577
,8.307756393
,8.504464494
8.786272057,8.289620726
8.567243269,8.097098513
,8.037109173
,7.847377262
,8.2798551
,8.106864138
,8.203124811
,8.239397012
,8.430524508
9.077845246,8.604911055
,8.445870739
,8.006417578
8.366350147,7.88783535
,7.858538473
,
8.932756444,8.490513848
9.133649566,8.632812347
9.298270487,8.777902016
9.591239261,9.070870791
9.78236589,9.234095259
,9.211774572
,9.086217022
9.227120804,8.727678302
,8.510045099
,8.450055759
,8.352399501
,8.539341977
,8.634207932
,8.775110846
9.684709632,9.155970253
9.778180869,9.24107145
,9.400110898
,9.118303335
9.423828037,8.935546747
,8.67187485
8.969029512,8.543526997
,8.480748222
,8.176618237
,8.482142072
9.18387328,8.616071398
,9.076451396
9.90652959,9.334542687
,9.342912728
,9.257812399
,9.020647077
9.135045151,8.650948881
,8.547712017
,8.239397012
,7.862723493
,8.240792597
,8.383091964
9.207589552,8.722098564
,9.020647077
,9.217355178
9.642857693,9.118303335
,8.747209554
8.991350199,8.498883888
8.869977669,8.390067287
,8.134765431
,8.108258856
,8.34402946
,8.60351547
9.381975231,8.854631438
,8.99832639
,8.832310751
,8.624442306
,8.537946392
8.914620778,8.424943902
,
8.76395137,8.238001427
,
,8.650948881
9.317801739,8.790457945
,8.650948881
,8.61467668
9.017857641,8.536551674
,
,8.200334509
,8.656529486
,8.82114954
9.493583003,8.928571424
9.415457997,8.874162689
,8.844865812
,
9.001115825,8.46121697
,8.705357615
,8.632812347
,8.5825895
,8.717912677
,
9.009485866,8.606305772
,8.726282717
,8.801618288
,8.836495771
,8.860212043
,
,
,
,8.717912677
,8.717912677
,8.762555785
,8.837890489
,8.780692319
,8.657923337
,8.515624837
,8.133370713
,7.952008843
,8.179407672
,8.104073836
,8.214286022
,8.360770409
,8.235211992
,7.964564772
,7.812499779
,7.661830372
,8.102678251
,8.03013385
8.537946392,8.141740754
,8.196149488
,8.364954562
,8.561662664
,8.390067287
,7.898995694
,7.737165075
,7.738559793
,
,
,8.600725167
,8.765345221
9.465680843,9.080636416
,9.222935783
,9.253626511
9.475446469,9.068079621
,8.642577973
,8.388671702
